Produit,Laboratoire,Quantité,DDP,PPA,image_path,Famille,Conseils,Composition
EXPERT ONE SHAMP PSORIASIS 200ML C/12, ,9,2029-12-01,384.0,,,,
MAGPHARM ACTICARBINE CONFORT DIGESTIF COMP B/14,MAG PHARM,10,2029-12-01,295.0,,,,
DERMASOUFRE SAVON VISAGE ET CORPS  100G  , ,0,2029-12-01,76.45,,,,
SPIC XETHOL SPRAY CHAUFFANT DOULEURS MUSCULAIRES C/24 150ML  , ,0,2029-12-01,407.0,,,,
DERMAVIE DERMAGYN IRRITATION GEL NETTOYANT INTIME LAVANDE 200ML C/25, ,0,2029-12-01,798.0,,,,
STAR CARE POCHE A URINE ADLT 2000ML SC-P2000 AVEC VALVE PUSH-PULL ET CLAPET ANTI-RETOUR , ,0,2029-12-01,30.24,,,,
HERBEZAL TISANE BEBE PF023 , ,0,2029-12-01,81.49,,,,
ACM DEPIWHITE ADVENCED CREME INTENSIVE ANTI TACHES 40ML,ACM LABOTRATOIRE DERMATOLOGIQUE,7,2030-01-01,2392.5,,,,
GBMB BANDE DE CREPE 4M*10CM C/150,zz,0,2030-01-01,45.17,,,,
SETEVAL STEVIOL SUCRE STEVIA POUR DIABETIQUE ET REGIME B/50, ,7,2030-01-01,450.0,,,,
EXPERT ONE SHAMPO ANTI POUX C/12 200ML  , ,0,2030-01-01,550.0,,,,
MASQUE AVEC VALVE LOCAL -BAVETTE -, ,500,2030-01-01,140.0,,,,
MASQUE AVEC VALVE LOCAL -BAVETTE -, ,0,2030-01-01,140.0,,,,
BAVETTES SACOTEX P/20, ,137,2030-01-01,90.0,,,,
ST.LE LION EMPLATRE PM B/40,AUCUN,119,2030-02-01,90.92,,,,
ST.LE LION EMPLATRE GM B/30,AUCUN,90,2030-02-01,165.87,,,,
GBMB BANDE DE CREPE 4M*20CM C/80,ZZ,65,2030-02-01,89.11,,,,
GBMB BANDE DE CREPE 4M*15CM C/100,ZZ,80,2030-02-01,64.36,,,,
MASQUE FFP2 B/30 AVEC VALVE -BAVETTE-, ,4740,2030-02-02,150.0,,,,
MASQUE AVEC VALVE LOCAL -BAVETTE -, ,0,2030-02-02,150.0,,,,
MASQUE AVEC VALVE LOCAL -BAVETTE -, ,0,2030-02-02,140.0,,,,
ECOTEM SURGI GLOVE GANT STERIL LATEX 8.0 BT/50, ,40,2030-03-01,83.75,,,,
ECOTEM SURGI GLOVE GANT STERIL LATEX 8.0 BT/50, ,0,2030-03-01,83.75,,,,
PIC INSUPEN AIGUILLE ADV 34G X 3.5 MM 100 PCS C/12,CIC,10,2030-05-01,1732.64,,,,
PIC INSUPEN 8MM  AIGULLE 100 PC PR STYLO ,CIC,0,2030-05-01,0.0,,,,
PIC INSUPEN 6MM  AIGULLE 100 PCS PR STYLO,CIC,10,2030-05-01,2199.12,,,,
ECOTEM SURGI GLOVE GANT STERIL LATEX 7.5 BT/50, ,50,2030-07-01,85.1,,,,
ECOTEM SURGI GLOVE GANT STERIL LATEX 7.0 BT/50, ,40,2030-07-01,83.75,,,,
ECOTEM SURGI GLOVE GANT STERIL LATEX 6.5 BT/50, ,40,2030-07-01,81.76,,,,
MEBO 0.25%  T/15G POMMADE DERMIQUE ,JULPHAR,0,2030-08-01,0.0,,,,
ETUMAX VIAGRA HOMME TONGKAT ALI POWER PLUS B/04 CAPS,ETUMAX,1,2030-08-01,1980.0,,,,
IMC.NIPRO SERINGUE 5CC C/800, ,13,2030-09-01,1020.0,,,,
PRODERMA.SAVON ANGELINE POUR BEBE 100 G . 125G, ,21,2030-09-01,133.88,,,,
SW. TETRA COMPRESSE OCULAIRE ADULT BT/10 C/288, ,24,2030-09-01,173.6,,,,
UL URGOFIX ULTRA-FUERTE TUBE/50, ,6,2030-10-01,1100.0,,,,
ELSEVE COLOR-VIVE SHAMPOING VIOLET DEJAUNISSEUR (CHEVEUX MECHES BLONDS OU BLANCS), ,6,2030-10-01,950.0,,,,
REPARTIDIS NEXT SPARADRAP SILK 2.5CM*5M B/12 C/30 , ,0,2030-10-01,0.0,,,,
CHICCO SUCETTE AIR SIL PHYSIOFORMA 0-6 M BLUE , ,0,2030-12-01,990.0,,,,
CHICCO SUCETTE AIR SIL PHYSIOFORMA 6-16 M BLEU , ,0,2030-12-01,990.0,,,,
CONTROL ADAPTA NATURE 06 B/24,CIC,2,2030-12-01,3806.4,,,,
CONTROL ADAPTA NATURE 12  B/15 ,CIC,0,2030-12-01,0.0,,,,
SUAVINEX BIBERON PLAST DREAM 360ML PINK, ,3,2030-12-01,1260.0,,,,
SUAVINEX BIBERON PLAST DREAM 360ML BLEU, ,3,2030-12-01,1260.0,,,,
SAFFEC COTIFLEX COTON HYDROPHILE 100G C/24 ,COTIFLEX ,0,2030-12-01,0.0,,,,
EXPERT ONE LOTION ANTI POUX C/12 200ML  , ,0,2030-12-01,550.0,,,,
HERBEZAL TISANE VERVEINE PF026  , ,0,2030-12-01,81.49,,,,
CHICCO SUCETTE CONFORT PHYSIOFORMA SIL 0-6 M BLEU , ,0,2040-01-01,990.0,,,,
DENIZ  SUCETTE PHYSIOLOGIQUE P/12 REF: SP.544 0+MOIS, ,12,2040-01-01,74.88,,,,
DENIZ SUCETTE PAPILLON NOUVEAU NÉ PAQUET/12 SP543  0+MOIS, ,12,2040-01-01,70.72,,,,
DENIZ SUCETTE 100% SILICONE PHYSIOLOGIQUE P/12 0+MOIS, ,12,2040-01-01,76.96,,,,
SW VERRE HIDJAMA ISLAMIA (S W) /P6 1*2*3*4*5*6 C/200, ,2,2040-01-01,191.36,,,,
COCCO BOUT DE SEIN NV MODEL C/24 2314, ,21,2040-01-01,230.0,,,,
DENIZ  MASSE GENSIVE A EAU-FRECH BEBY RING-REF:SP.315, ,23,2040-01-01,195.0,,,,
DENIZ TASSE A BEC/ SILICONE P/14, ,1,2040-01-01,345.0,,,,
DENIZ  CUILLERE EN SILICONE, ,34,2040-01-01,299.0,,,,
DENIZ  ATTACHE SUCETTE P/48 C/288, ,42,2040-01-01,104.0,,,,
DENIZ  SUCETTE ''EASY SYM'' TETINE SYMETRIQUE P/12 C/144 03-06MOIS, ,12,2040-10-01,100.88,,,,
SW VERRE HIDJAMA ISLAMIA (S W) 2*2*2 GM 1* 2 *3 C/200, ,3,2040-12-01,215.28,,,,
VERRE HIDJAMA ISLAMIA  PM B/6, ,3,2040-12-01,239.2,,,,
ORTHOPRO CHEVILLERE ELASTIQUE REGLABLE ,ZZ,0,2040-12-01,211.13,,,,
KIDS HEAVEN COUSSINET D'ALLAITEMENT BT/36 , ,0,2040-12-01,829.92,,,,
MEDIDIET AMD COUCHE CULOTTE (PANT) MAXI P/14 TMEDIUM C/6, ,6,2040-12-01,1106.62,,,,
STAR CARE THERMOMETRE DIGITAL FLEXIBLE WATERPOOF C/30, ,30,2040-12-01,357.5,,,,
COCCO TIRE LAIT EN VERRE C/12,COCCO,9,2040-12-01,790.0,,,,
LN PLAST SACHET PHARMACIE MM P100 C/50, ,50,2040-12-01,121.06,,,,
LN PLAST SACHET PHARMACIE GM P:100 C/30, ,30,2040-12-01,195.0,,,,
LN PLAST SACHET PHARMACIE PM P/100  C/60, ,60,2040-12-01,84.0,,,,
PANARTHRO SERRE DE POIGNET REGLABLE , ,0,2040-12-01,110.68,,,,
BANDE DE CREPE 4M*05CM C/240 (TEXMED),TEXMED,198,2040-12-01,34.5,,,,
REMOND BIB PLASTIQUE 270 ML -11- C/24, ,17,2041-12-01,809.92,,,,
"OMRON TRANSFO POUR TENSIOMETRE A BRASSARD AC ADAPTER"" P/10 C/20",AUCUN,2,2041-12-01,1626.24,,,,
FORTIMEL 2.4 K CAL/ML SAVEUR VANILLE,,24,,700.0,,,,
BIODERMA ATODERM HUIL DE DOUCHE 1LITRE,,2,,3950.0,,,,
BIOMAX VITAMINE C 250 + BISGLYSINATE DE ZINC10 MG GOUT AGRUMES B/10 CAPS EFFERVESCENT C/24,,5,,620.0,,,,
TOUCHER PACK ANTI CHUTE (SERUM+SHAMPOING),,1,,2950.0,,,,
SENSODYNE DENTIFRICE 75ML BLANCHEUR,,6,,666.66,,,,
MAGPHARM BABY GAZ SIROP 100ml,,43,,635.0,,,,
MAGPHARM PHYBABY GOUTTES 60ml,,5,,440.0,,,,
SCI NUTRIGEST + MAGNESIUM 150MG B/30,,2,,985.0,,,,
VOMITEB COMP BT/30,,13,,580.0,,,,
BIOGAIA GOUTTES PROBIOTIQUES 5ML,,10,,4000.0,,,,
MAGPHARM AVENE CICALFATE CREME GM 100ML,,5,,3840.0,,,,
VITAMINE D3 100 000 UI BUV DE 10ML,,3,,750.0,,,,
ASCALOL LOTION ANTI PARASITAIRE C/30 125ML,,153,,268.36,,,,
GARNIER DELIAL HYDRA 24 PROTECT 50+ VITAMINE 270ML,,2,,2100.0,,,,
CETAPHIL INTENSIVE REPAIR LOTION 473ML,,2,,4200.0,,,,
MARVIS 85ML GINGER MINT,,4,,2450.0,,,,
MARVIS DENT 85ML CINNAMON MINT,,6,,2450.0,,,,
EUCERIN ANTI PIGMENT GEL NET 400 ML ROSE,,3,,3700.0,,,,
BIOXCIN HERBAL SHAMPOO 3PCS,,3,,1100.0,,,,
BIODERMA SEBIUM GEL MOUSSANT NETTOYANT PURIFIANT A/PAMPE 200ML,,4,,2030.0,,,,
EUCERIN ANTI PIGMENT SERUM DUO F/30ML,,2,,6800.0,,,,
CBC BE FRESH MINI SEMELLE PARFUME (BLEU) CONFORT P/20,,3,,2000.0,,,,
SOLYNE GROSSESSE + METAFOLINE B/15,,8,,715.0,,,,
KALOSE DELICE SOLUTION ANTI POUX C/56 50ML,,10,,2100.0,,,,
VENUS ECRAN TOTAL SPF60 INVISIBLE - TUBE/50ML,,6,,330.0,,,,
SANEWTOL GEL TUBE 75G 75,,70,,415.0,,,,
LEADERMAX APHTES GEL BRULURES  T/15ML,,3,,450.0,,,,
HIGEEN BARRAD GM T/120ML,,10,,499.0,,,,
COMPRESSE NON STERILES(PURIFIEE) 10CM*10CM,,80,,77.3,,,,
NEWTRIL BAIN DB F/125ML,,180,,320.0,,,,
LRP CICAPLAST BAUME B5+ ULTRA REPARATEUR APAISANT T/100ML,,3,,3960.0,,,,
VOMITEB 100 ML SIROP,,28,,480.0,,,,
DABUR MISWEK ORIGINAL 30+15G FREE C/144 DENTIFRICE,,9,,90.0,,,,
ZEIN PHARMA FRUCHT-PLUS SELENIUM + Q10 BT 30 CPS,,2,,2490.0,,,,
UPS PROSUITEX DENT JUNIOR MIEL ET PROPOLIS 6 ANS ET PLUS 50GR P/12 C/72,,5,,120.0,,,,
SPIC AKIPOUX LOTION ANTI POUX ET LENTES 200ML   .,,10,,250.0,,,,
POULLOX SHAMPOING ANTI POUX C/30  220ML,,20,,220.0,,,,
SANEWTOL BAIN DE BOUCHE FL/225 ML,,82,,345.0,,,,
COMPRESSE 7.5* 7.5 STERILE B/10 CL/114 (TECHNIPHARM),,114,,71.83,,,,
COMPRESSE STERILE 10*10CM B/10 CL/90 (TECHNIPHARM),,50,,93.53,,,,
SCI ARTHROFIT + CURCUMA COMP B30,,5,,2985.0,,,,
XETION DORMIVIT MELATONINE 3MG B/30 C/60 PR SOMMEIL,,10,,800.0,,,,
XETION DORMIVIT 3MG MELATONINE  B/15 PR SOMMEIL,,10,,400.0,,,,
TECHNIPHARM COMPRESSE STERILE 5*5CM B/10 CL/120,,70,,5976.67,,,,
GYNORELLE SOLUTION LAVANTE DOUCE 125ML C/25,,21,,507.0,,,,
CURELAB CURE VERRUE GEL FILMOGENE,,2,,380.0,,,,
SPIC XETHOL GEL CHAUFFANT 100ML  C/24 .,,24,,337.0,,,,
LEADER LEADERMAX GEL REPARATEUR T/15ML POUR LES PLAIS BRULURES,,7,,520.0,,,,
UPS PROSUITEX DENT TRAITEMENT ANTI-TARTRES (SILICOPOLISH) 100GR P/12,,4,,206.0,,,,
SPIC AKILEINE SPRAY DEO NOIR DEODORANT PIED ANTI TRANSPIRANT 150ML P/8 C/16,,5,,436.64,,,,
SPIC AKIPOUX SHAMPO ANTI POUX ET LENTES 200ML  .,,10,,250.0,,,,
PRODERMA POLYDERMYL 50ML CREME EMOLLIENTE C/48 (PRODERMA ),,48,,299.0,,,,
GANT EXAMEN LATEX (L)-EXAM GLOVE C/50,,40,,185.85,,,,
DR ALTHEA PRO LAB 345RELIFE CREAM 50ML,,5,,3950.0,,,,
TOUCHER VITAMINE C 11% 30ML BOOSTER DECLAT,,2,,1700.0,,,,
SOLYNE MAGNESIUM 300MG B/10 300MG,,24,,850.0,,,,
DI HIPOSOL TALC PARFUM BEBE C/24 100G,,21,,142.8,,,,
DERMASOUFRE SAVON VISAGE ET CORPS  100G,,31,,76.45,,,,
SPIC XETHOL SPRAY CHAUFFANT DOULEURS MUSCULAIRES C/24 150ML,,6,,407.0,,,,
STAR CARE POCHE A URINE ADLT 2000ML SC-P2000 AVEC VALVE PUSH-PULL ET CLAPET ANTI-RETOUR,,90,,30.24,,,,
HERBEZAL TISANE BEBE PF023,,20,,81.49,,,,
EXPERT ONE SHAMPO ANTI POUX C/12 200ML,,9,,550.0,,,,
PIC INSUPEN 8MM  AIGULLE 100 PC PR STYLO,,10,,2199.12,,,,
MEBO 0.25%  T/15G POMMADE DERMIQUE,,5,,1260.0,,,,
REPARTIDIS NEXT SPARADRAP SILK 2.5CM*5M B/12 C/30,,4,,1764.0,,,,
CHICCO SUCETTE AIR SIL PHYSIOFORMA 0-6 M BLUE,,2,,990.0,,,,
CHICCO SUCETTE AIR SIL PHYSIOFORMA 6-16 M BLEU,,2,,990.0,,,,
CONTROL ADAPTA NATURE 12  B/15,,2,,4302.48,,,,
SAFFEC COTIFLEX COTON HYDROPHILE 100G C/24,,2,,2429.33,,,,
EXPERT ONE LOTION ANTI POUX C/12 200ML,,9,,550.0,,,,
HERBEZAL TISANE VERVEINE PF026,,90,,81.49,,,,
CHICCO SUCETTE CONFORT PHYSIOFORMA SIL 0-6 M BLEU,,2,,990.0,,,,
ORTHOPRO CHEVILLERE ELASTIQUE REGLABLE,,7,,211.13,,,,
KIDS HEAVEN COUSSINET D'ALLAITEMENT BT/36,,14,,829.92,,,,
PANARTHRO SERRE DE POIGNET REGLABLE,,5,,110.68,,,,
