Produit,Laboratoire,Quantité,DDP,PPA,image_path,Famille,Conseils,Composition
MOBEN VIDAROC VITAMINE C 1000MG + ZINC 15MG EFFER B/15 COMP S/SUCRE C/110, ,11,2027-12-01,650.0,,,,
MAGPHARM SOLYNE BOOST B/10 COMP, ,3,2027-12-01,1200.0,,,,
 ASCALOL LOTION ANTI PARASITAIRE C/30 125ML  ,PHARMIDAL,0,2027-12-01,268.36,,,,
 ASCALOL LOTION ANTI PARASITAIRE C/30 125ML  ,PHARMIDAL,0,2027-12-01,268.36,,,,
ARTIFLEX B/30 CP,THERAPLOS,3,2027-12-01,1400.0,,,,
MARVIS DENT 85ML AQUATIC MINT, ,1,2028-01-01,2400.0,MARVIS_DENT_85ML_AQUATIC_MINT.png,,,
GARNIER DELIAL HYDRA 24 PROTECT 50+ VITAMINE 270ML , ,0,2028-01-01,0.0,,,,
CETAPHIL INTENSIVE REPAIR LOTION 473ML , ,0,2028-01-01,0.0,CETAPHIL_INTENSIVE_REPAIR_LOTION_473ML.png,,,
LA ROCHE POSAY ANTHELIOS UV SPF50+ KIDS, ,3,2028-01-01,2800.0,,,,
ORDINARY HYALURONIC ACID 2% 60ML, ,2,2028-01-01,3900.0,,,,
MARVIS 85ML GINGER MINT , ,0,2028-01-01,0.0,MARVIS_85ML_GINGER_MINT.png,,,
MARVIS DENT 85ML CINNAMON MINT , ,0,2028-01-01,0.0,MARVIS_DENT_85ML_CINNAMON_MINT.png,,,
MARVIS DENT 85ML CLASSIQUE STRONG MINT, ,4,2028-01-01,2450.0,MARVIS_DENT_85ML_CLASSIQUE_STRONG_MINT.png,,,
FORTIMEL EXTRA AROME CHOCO 200ml BOISSON,NUTRICIA,20,2028-01-01,700.0,,,,
BIODERMA SEBIUM SERUM 30ML, ,2,2028-01-01,4850.0,,,,
BIODERMA SEBUIM PORE REFINER 30ML, ,2,2028-01-01,2950.0,,,,
CERAVE 473ML GEL MOUSSANT GRASSE, ,2,2028-01-01,3350.0,,,,
LA ROCHE POSAY ANTHELIOS UV MUNE INVISIBLE FLUD 50+, ,2,2028-01-01,2750.0,,,,
MARVIS DENT 85ML AQUATIC MINT, ,0,2028-01-01,0.0,MARVIS_DENT_85ML_AQUATIC_MINT.png,,,
EUCERIN ANTI PIGMENT GEL NET 400 ML ROSE ,zz,0,2028-01-01,0.0,,,,
BIOXCIN HERBAL SHAMPOO 3PCS ,zz,0,2028-01-01,0.0,,,,
BIODERMA SEBIUM GEL MOUSSANT NETTOYANT PURIFIANT A/PAMPE 200ML ,BIODERMA,0,2028-01-01,0.0,,,,
VICHY 3 EN 1 SPF 50++,zz,2,2028-01-01,2950.0,,,,
EUCERIN ANTI PIGMENT SERUM DUO F/30ML ,zz,0,2028-01-01,0.0,,,,
LDM BIOKINE GEL ANTI DOULEURS MUSCULAIRES T/100GR,LDM,5,2028-01-01,472.5,,,,
GREENOVAR STIMULUM FORTIFIANT SEXUELLE GELLU/4 C/90, ,2,2028-01-01,1580.0,,,,
 ASCALOL LOTION ANTI PARASITAIRE C/30 125ML  ,PHARMIDAL,0,2028-01-01,268.36,,,,
CBC BE FRESH MINI SEMELLE PARFUME (NOIR) PREMIUM B/20, ,3,2028-01-01,2000.0,,,,
CBC BE FRESH MINI SEMELLE PARFUME (MAUVE)  B/20, ,3,2028-01-01,2000.0,,,,
CBC BE FRESH MINI SEMELLE PARFUME (JAUNE) ACTIF B/20, ,3,2028-01-01,2000.0,,,,
CBC BE FRESH MINI SEMELLE PARFUME (BLEU) CONFORT P/20 , ,0,2028-01-01,0.0,,,,
UL.URGO APHTES C/48,AUCUN,2,2028-01-01,900.0,,,,
GALDERMA DAYLONG EXTREME SPF50+ 100ML PROTECTION DE LA PEAU, ,3,2028-02-01,3706.5,,,,
SIMBEL MAXI FRESH SPRAY BUCCAL HALEINE MENTHE 13ML BT/16 FLACONS, ,14,2028-02-01,95.5,,,,
SIGNAL DENT ANTI-CARIES 75ML ROUGE CLASSIC P/12 C/72, ,9,2028-02-01,173.36,,,,
SCI NUTRIGEST+CHEVEUX ET ONGLES BT/60 GELULES C/24, ,2,2028-03-01,2520.0,,,,
NUTRISANTE FORCE G STIMULANT 10 AMP C/23, ,4,2028-03-01,1390.0,,,,
SS.ALBUPLAST SPARADRA NON PERFORE 18CM*4CM C/50,AUCUN,40,2028-03-01,785.93,,,,
VENUS CREME DEPILATOIRE ALOE VERA 100 ML,VENUS,12,2028-03-01,113.32,,,,
SOLYNE GROSSESSE + METAFOLINE B/15     ,SOLYNE,0,2028-03-01,715.0,,,,
APOTHEKE ACTIMER HYPERTONIQUE NEZ BOUCHE ROUGE 150ML,AUCUN,5,2028-03-01,590.0,,,,
